Inning,Over,Batting_Team,Player,Non_Striker,Baller,Runs,Extra
1,0.1,Kolkata Knight Riders,JH Kallis,EJG Morgan,Z Khan,0,0
1,0.2,Kolkata Knight Riders,JH Kallis,EJG Morgan,Z Khan,0,0
1,0.3,Kolkata Knight Riders,JH Kallis,EJG Morgan,Z Khan,0,0
1,0.4,Kolkata Knight Riders,JH Kallis,EJG Morgan,Z Khan,4,0
1,0.5,Kolkata Knight Riders,JH Kallis,EJG Morgan,Z Khan,4,0
1,0.6,Kolkata Knight Riders,JH Kallis,EJG Morgan,Z Khan,0,0
1,1.1,Kolkata Knight Riders,EJG Morgan,JH Kallis,CK Langeveldt,1,0
1,1.2,Kolkata Knight Riders,JH Kallis,EJG Morgan,CK Langeveldt,0,0
1,1.3,Kolkata Knight Riders,JH Kallis,EJG Morgan,CK Langeveldt,0,0
1,1.4,Kolkata Knight Riders,JH Kallis,EJG Morgan,CK Langeveldt,4,0
1,1.5,Kolkata Knight Riders,JH Kallis,EJG Morgan,CK Langeveldt,1,0
1,1.6,Kolkata Knight Riders,EJG Morgan,JH Kallis,CK Langeveldt,1,0
1,2.1,Kolkata Knight Riders,EJG Morgan,JH Kallis,Z Khan,0,0
1,2.2,Kolkata Knight Riders,EJG Morgan,JH Kallis,Z Khan,0,0
1,2.3,Kolkata Knight Riders,EJG Morgan,JH Kallis,Z Khan,0,0
1,2.4,Kolkata Knight Riders,G Gambhir,JH Kallis,Z Khan,1,0
1,2.5,Kolkata Knight Riders,JH Kallis,G Gambhir,Z Khan,2,0
1,2.6,Kolkata Knight Riders,JH Kallis,G Gambhir,Z Khan,2,0
1,3.1,Kolkata Knight Riders,G Gambhir,JH Kallis,CK Langeveldt,0,0
1,3.2,Kolkata Knight Riders,G Gambhir,JH Kallis,CK Langeveldt,0,0
1,3.3,Kolkata Knight Riders,G Gambhir,JH Kallis,CK Langeveldt,1,0
1,3.4,Kolkata Knight Riders,JH Kallis,G Gambhir,CK Langeveldt,0,0
1,3.5,Kolkata Knight Riders,JH Kallis,G Gambhir,CK Langeveldt,0,0
1,3.6,Kolkata Knight Riders,MK Tiwary,G Gambhir,CK Langeveldt,0,1
1,4.1,Kolkata Knight Riders,MK Tiwary,G Gambhir,Z Khan,0,0
1,4.2,Kolkata Knight Riders,MK Tiwary,G Gambhir,Z Khan,1,0
1,4.3,Kolkata Knight Riders,G Gambhir,MK Tiwary,Z Khan,0,0
1,4.4,Kolkata Knight Riders,G Gambhir,MK Tiwary,Z Khan,1,0
1,4.5,Kolkata Knight Riders,MK Tiwary,G Gambhir,Z Khan,2,0
1,4.6,Kolkata Knight Riders,MK Tiwary,G Gambhir,Z Khan,0,0
1,5.1,Kolkata Knight Riders,G Gambhir,MK Tiwary,S Aravind,0,0
1,5.2,Kolkata Knight Riders,G Gambhir,MK Tiwary,S Aravind,4,0
1,5.3,Kolkata Knight Riders,G Gambhir,MK Tiwary,S Aravind,0,0
1,5.4,Kolkata Knight Riders,YK Pathan,MK Tiwary,S Aravind,1,0
1,5.5,Kolkata Knight Riders,MK Tiwary,YK Pathan,S Aravind,0,0
1,5.6,Kolkata Knight Riders,MK Tiwary,YK Pathan,S Aravind,2,0
1,6.1,Kolkata Knight Riders,YK Pathan,MK Tiwary,A Mithun,0,0
1,6.2,Kolkata Knight Riders,YK Pathan,MK Tiwary,A Mithun,0,0
1,6.3,Kolkata Knight Riders,YK Pathan,MK Tiwary,A Mithun,0,0
1,6.4,Kolkata Knight Riders,YK Pathan,MK Tiwary,A Mithun,4,0
1,6.5,Kolkata Knight Riders,YK Pathan,MK Tiwary,A Mithun,1,0
1,6.6,Kolkata Knight Riders,MK Tiwary,YK Pathan,A Mithun,0,1
1,6.7,Kolkata Knight Riders,MK Tiwary,YK Pathan,A Mithun,0,0
1,7.1,Kolkata Knight Riders,YK Pathan,MK Tiwary,S Aravind,0,0
1,7.2,Kolkata Knight Riders,YK Pathan,MK Tiwary,S Aravind,0,0
1,7.3,Kolkata Knight Riders,YK Pathan,MK Tiwary,S Aravind,1,0
1,7.4,Kolkata Knight Riders,MK Tiwary,YK Pathan,S Aravind,1,0
1,7.5,Kolkata Knight Riders,YK Pathan,MK Tiwary,S Aravind,0,0
1,7.6,Kolkata Knight Riders,YK Pathan,MK Tiwary,S Aravind,0,0
1,8.1,Kolkata Knight Riders,MK Tiwary,YK Pathan,A Mithun,0,0
1,8.2,Kolkata Knight Riders,MK Tiwary,YK Pathan,A Mithun,0,0
1,8.3,Kolkata Knight Riders,MK Tiwary,YK Pathan,A Mithun,0,0
1,8.4,Kolkata Knight Riders,MK Tiwary,YK Pathan,A Mithun,0,1
1,8.5,Kolkata Knight Riders,MK Tiwary,YK Pathan,A Mithun,0,0
1,8.6,Kolkata Knight Riders,MK Tiwary,YK Pathan,A Mithun,1,0
1,8.7,Kolkata Knight Riders,YK Pathan,MK Tiwary,A Mithun,6,0
1,9.1,Kolkata Knight Riders,MK Tiwary,YK Pathan,S Aravind,1,0
1,9.2,Kolkata Knight Riders,YK Pathan,MK Tiwary,S Aravind,1,0
1,9.3,Kolkata Knight Riders,MK Tiwary,YK Pathan,S Aravind,1,0
1,9.4,Kolkata Knight Riders,YK Pathan,MK Tiwary,S Aravind,4,0
1,9.5,Kolkata Knight Riders,YK Pathan,MK Tiwary,S Aravind,1,0
1,9.6,Kolkata Knight Riders,MK Tiwary,YK Pathan,S Aravind,1,0
1,10.1,Kolkata Knight Riders,MK Tiwary,YK Pathan,CH Gayle,1,0
1,10.2,Kolkata Knight Riders,YK Pathan,MK Tiwary,CH Gayle,1,0
1,10.3,Kolkata Knight Riders,MK Tiwary,YK Pathan,CH Gayle,1,0
1,10.4,Kolkata Knight Riders,YK Pathan,MK Tiwary,CH Gayle,2,0
1,10.5,Kolkata Knight Riders,YK Pathan,MK Tiwary,CH Gayle,6,0
1,10.6,Kolkata Knight Riders,YK Pathan,MK Tiwary,CH Gayle,0,0
