Inning,Over,Batting_Team,Player,Non_Striker,Baller,Runs,Extra
1,0.1,Sunrisers Hyderabad,PA Reddy,PA Patel,RP Singh,0,0
1,0.2,Sunrisers Hyderabad,PA Reddy,PA Patel,RP Singh,2,0
1,0.3,Sunrisers Hyderabad,PA Reddy,PA Patel,RP Singh,4,0
1,0.4,Sunrisers Hyderabad,PA Reddy,PA Patel,RP Singh,0,0
1,0.5,Sunrisers Hyderabad,PA Reddy,PA Patel,RP Singh,0,0
1,0.6,Sunrisers Hyderabad,PA Reddy,PA Patel,RP Singh,1,0
1,1.1,Sunrisers Hyderabad,PA Reddy,PA Patel,R Vinay Kumar,0,0
1,1.2,Sunrisers Hyderabad,PA Reddy,PA Patel,R Vinay Kumar,4,0
1,1.3,Sunrisers Hyderabad,PA Reddy,PA Patel,R Vinay Kumar,0,0
1,1.4,Sunrisers Hyderabad,PA Reddy,PA Patel,R Vinay Kumar,1,0
1,1.5,Sunrisers Hyderabad,PA Patel,PA Reddy,R Vinay Kumar,0,0
1,1.6,Sunrisers Hyderabad,PA Patel,PA Reddy,R Vinay Kumar,0,0
1,2.1,Sunrisers Hyderabad,PA Reddy,PA Patel,RP Singh,0,0
1,2.2,Sunrisers Hyderabad,KC Sangakkara,PA Patel,RP Singh,0,0
1,2.3,Sunrisers Hyderabad,KC Sangakkara,PA Patel,RP Singh,4,0
1,2.4,Sunrisers Hyderabad,KC Sangakkara,PA Patel,RP Singh,0,0
1,2.5,Sunrisers Hyderabad,KC Sangakkara,PA Patel,RP Singh,1,0
1,2.6,Sunrisers Hyderabad,PA Patel,KC Sangakkara,RP Singh,0,0
1,3.1,Sunrisers Hyderabad,KC Sangakkara,PA Patel,R Vinay Kumar,1,0
1,3.2,Sunrisers Hyderabad,PA Patel,KC Sangakkara,R Vinay Kumar,1,0
1,3.3,Sunrisers Hyderabad,KC Sangakkara,PA Patel,R Vinay Kumar,1,0
1,3.4,Sunrisers Hyderabad,PA Patel,KC Sangakkara,R Vinay Kumar,1,0
1,3.5,Sunrisers Hyderabad,KC Sangakkara,PA Patel,R Vinay Kumar,0,0
1,3.6,Sunrisers Hyderabad,KC Sangakkara,PA Patel,R Vinay Kumar,4,0
1,4.1,Sunrisers Hyderabad,PA Patel,KC Sangakkara,JD Unadkat,0,0
1,4.2,Sunrisers Hyderabad,PA Patel,KC Sangakkara,JD Unadkat,4,0
1,4.3,Sunrisers Hyderabad,PA Patel,KC Sangakkara,JD Unadkat,1,0
1,4.4,Sunrisers Hyderabad,KC Sangakkara,PA Patel,JD Unadkat,1,0
1,4.5,Sunrisers Hyderabad,PA Patel,KC Sangakkara,JD Unadkat,1,0
1,4.6,Sunrisers Hyderabad,KC Sangakkara,PA Patel,JD Unadkat,0,0
1,5.1,Sunrisers Hyderabad,PA Patel,KC Sangakkara,M Muralitharan,1,0
1,5.2,Sunrisers Hyderabad,KC Sangakkara,PA Patel,M Muralitharan,0,0
1,5.3,Sunrisers Hyderabad,KC Sangakkara,PA Patel,M Muralitharan,1,0
1,5.4,Sunrisers Hyderabad,PA Patel,KC Sangakkara,M Muralitharan,4,0
1,5.5,Sunrisers Hyderabad,PA Patel,KC Sangakkara,M Muralitharan,0,0
1,5.6,Sunrisers Hyderabad,PA Patel,KC Sangakkara,M Muralitharan,2,0
1,6.1,Sunrisers Hyderabad,KC Sangakkara,PA Patel,JD Unadkat,1,0
1,6.2,Sunrisers Hyderabad,PA Patel,KC Sangakkara,JD Unadkat,0,0
1,6.3,Sunrisers Hyderabad,PA Patel,KC Sangakkara,JD Unadkat,1,0
1,6.4,Sunrisers Hyderabad,KC Sangakkara,PA Patel,JD Unadkat,1,0
1,6.5,Sunrisers Hyderabad,PA Patel,KC Sangakkara,JD Unadkat,1,0
1,6.6,Sunrisers Hyderabad,KC Sangakkara,PA Patel,JD Unadkat,1,0
1,7.1,Sunrisers Hyderabad,KC Sangakkara,PA Patel,M Muralitharan,1,0
1,7.2,Sunrisers Hyderabad,PA Patel,KC Sangakkara,M Muralitharan,1,0
1,7.3,Sunrisers Hyderabad,KC Sangakkara,PA Patel,M Muralitharan,1,0
1,7.4,Sunrisers Hyderabad,PA Patel,KC Sangakkara,M Muralitharan,2,0
1,7.5,Sunrisers Hyderabad,PA Patel,KC Sangakkara,M Muralitharan,0,0
1,7.6,Sunrisers Hyderabad,CL White,KC Sangakkara,M Muralitharan,0,0
1,8.1,Sunrisers Hyderabad,KC Sangakkara,CL White,M Kartik,1,0
1,8.2,Sunrisers Hyderabad,CL White,KC Sangakkara,M Kartik,1,0
1,8.3,Sunrisers Hyderabad,KC Sangakkara,CL White,M Kartik,2,0
1,8.4,Sunrisers Hyderabad,KC Sangakkara,CL White,M Kartik,0,0
1,8.5,Sunrisers Hyderabad,KC Sangakkara,CL White,M Kartik,1,0
1,8.6,Sunrisers Hyderabad,CL White,KC Sangakkara,M Kartik,1,0
1,9.1,Sunrisers Hyderabad,CL White,KC Sangakkara,M Muralitharan,1,0
1,9.2,Sunrisers Hyderabad,KC Sangakkara,CL White,M Muralitharan,1,0
1,9.3,Sunrisers Hyderabad,CL White,KC Sangakkara,M Muralitharan,4,0
1,9.4,Sunrisers Hyderabad,CL White,KC Sangakkara,M Muralitharan,0,0
1,9.5,Sunrisers Hyderabad,CL White,KC Sangakkara,M Muralitharan,0,0
1,9.6,Sunrisers Hyderabad,CL White,KC Sangakkara,M Muralitharan,0,0
1,10.1,Sunrisers Hyderabad,KC Sangakkara,CL White,M Kartik,0,0
1,10.2,Sunrisers Hyderabad,KC Sangakkara,CL White,M Kartik,0,0
1,10.3,Sunrisers Hyderabad,CL White,NLTC Perera,M Kartik,1,0
1,10.4,Sunrisers Hyderabad,NLTC Perera,CL White,M Kartik,0,0
1,10.5,Sunrisers Hyderabad,NLTC Perera,CL White,M Kartik,1,0
1,10.6,Sunrisers Hyderabad,CL White,NLTC Perera,M Kartik,0,0
1,11.1,Sunrisers Hyderabad,NLTC Perera,CL White,JD Unadkat,0,0
1,11.2,Sunrisers Hyderabad,NLTC Perera,CL White,JD Unadkat,0,0
1,11.3,Sunrisers Hyderabad,NLTC Perera,CL White,JD Unadkat,1,0
1,11.4,Sunrisers Hyderabad,CL White,NLTC Perera,JD Unadkat,0,0
1,11.5,Sunrisers Hyderabad,CL White,NLTC Perera,JD Unadkat,1,0
1,11.6,Sunrisers Hyderabad,NLTC Perera,CL White,JD Unadkat,1,0
1,12.1,Sunrisers Hyderabad,NLTC Perera,CL White,M Kartik,0,0
1,12.2,Sunrisers Hyderabad,NLTC Perera,CL White,M Kartik,1,0
1,12.3,Sunrisers Hyderabad,CL White,NLTC Perera,M Kartik,2,0
1,12.4,Sunrisers Hyderabad,CL White,NLTC Perera,M Kartik,2,0
1,12.5,Sunrisers Hyderabad,CL White,NLTC Perera,M Kartik,1,0
1,12.6,Sunrisers Hyderabad,NLTC Perera,CL White,M Kartik,0,1
1,12.7,Sunrisers Hyderabad,NLTC Perera,CL White,M Kartik,6,0
1,13.1,Sunrisers Hyderabad,CL White,NLTC Perera,M Muralitharan,0,0
1,13.2,Sunrisers Hyderabad,CL White,NLTC Perera,M Muralitharan,2,0
1,13.3,Sunrisers Hyderabad,CL White,NLTC Perera,M Muralitharan,1,0
1,13.4,Sunrisers Hyderabad,NLTC Perera,CL White,M Muralitharan,0,0
1,13.5,Sunrisers Hyderabad,NLTC Perera,CL White,M Muralitharan,0,0
1,13.6,Sunrisers Hyderabad,NLTC Perera,CL White,M Muralitharan,1,0
1,14.1,Sunrisers Hyderabad,NLTC Perera,CL White,JD Unadkat,1,0
1,14.2,Sunrisers Hyderabad,CL White,NLTC Perera,JD Unadkat,4,0
1,14.3,Sunrisers Hyderabad,CL White,NLTC Perera,JD Unadkat,1,0
1,14.4,Sunrisers Hyderabad,NLTC Perera,CL White,JD Unadkat,6,0
1,14.5,Sunrisers Hyderabad,NLTC Perera,CL White,JD Unadkat,1,0
1,14.6,Sunrisers Hyderabad,CL White,NLTC Perera,JD Unadkat,1,0
1,15.1,Sunrisers Hyderabad,CL White,NLTC Perera,MC Henriques,4,0
1,15.2,Sunrisers Hyderabad,CL White,NLTC Perera,MC Henriques,1,0
1,15.3,Sunrisers Hyderabad,NLTC Perera,CL White,MC Henriques,6,0
1,15.4,Sunrisers Hyderabad,NLTC Perera,CL White,MC Henriques,1,0
1,15.5,Sunrisers Hyderabad,CL White,NLTC Perera,MC Henriques,6,0
1,15.6,Sunrisers Hyderabad,CL White,NLTC Perera,MC Henriques,0,0
1,16.1,Sunrisers Hyderabad,NLTC Perera,CL White,R Vinay Kumar,6,0
1,16.2,Sunrisers Hyderabad,NLTC Perera,CL White,R Vinay Kumar,1,1
1,16.3,Sunrisers Hyderabad,CL White,NLTC Perera,R Vinay Kumar,6,0
1,16.4,Sunrisers Hyderabad,CL White,NLTC Perera,R Vinay Kumar,1,0
1,16.5,Sunrisers Hyderabad,NLTC Perera,CL White,R Vinay Kumar,2,0
1,16.6,Sunrisers Hyderabad,NLTC Perera,CL White,R Vinay Kumar,1,0
1,16.7,Sunrisers Hyderabad,CL White,NLTC Perera,R Vinay Kumar,1,0
