Inning,Over,Batting_Team,Player,Non_Striker,Baller,Runs,Extra
1,0.1,Delhi Daredevils,DA Warner,V Sehwag,RP Singh,0,1
1,0.2,Delhi Daredevils,DA Warner,V Sehwag,RP Singh,0,0
1,0.3,Delhi Daredevils,DA Warner,V Sehwag,RP Singh,0,0
1,0.4,Delhi Daredevils,DA Warner,V Sehwag,RP Singh,2,0
1,0.5,Delhi Daredevils,DA Warner,V Sehwag,RP Singh,0,0
1,0.6,Delhi Daredevils,DA Warner,V Sehwag,RP Singh,0,0
1,0.7,Delhi Daredevils,DA Warner,V Sehwag,RP Singh,1,0
1,1.1,Delhi Daredevils,DA Warner,V Sehwag,S Sreesanth,0,0
1,1.2,Delhi Daredevils,NV Ojha,V Sehwag,S Sreesanth,0,0
1,1.3,Delhi Daredevils,NV Ojha,V Sehwag,S Sreesanth,0,0
1,1.4,Delhi Daredevils,NV Ojha,V Sehwag,S Sreesanth,0,0
1,1.5,Delhi Daredevils,Y Venugopal Rao,V Sehwag,S Sreesanth,0,0
1,1.6,Delhi Daredevils,Y Venugopal Rao,V Sehwag,S Sreesanth,0,0
1,2.1,Delhi Daredevils,V Sehwag,Y Venugopal Rao,RP Singh,0,0
1,2.2,Delhi Daredevils,V Sehwag,Y Venugopal Rao,RP Singh,0,0
1,2.3,Delhi Daredevils,V Sehwag,Y Venugopal Rao,RP Singh,2,0
1,2.4,Delhi Daredevils,V Sehwag,Y Venugopal Rao,RP Singh,4,0
1,2.5,Delhi Daredevils,V Sehwag,Y Venugopal Rao,RP Singh,0,0
1,2.6,Delhi Daredevils,V Sehwag,Y Venugopal Rao,RP Singh,1,0
1,3.1,Delhi Daredevils,V Sehwag,Y Venugopal Rao,S Sreesanth,1,0
1,3.2,Delhi Daredevils,Y Venugopal Rao,V Sehwag,S Sreesanth,0,0
1,3.3,Delhi Daredevils,Y Venugopal Rao,V Sehwag,S Sreesanth,1,0
1,3.4,Delhi Daredevils,V Sehwag,Y Venugopal Rao,S Sreesanth,4,0
1,3.5,Delhi Daredevils,V Sehwag,Y Venugopal Rao,S Sreesanth,0,0
1,3.6,Delhi Daredevils,V Sehwag,Y Venugopal Rao,S Sreesanth,0,1
1,3.7,Delhi Daredevils,V Sehwag,Y Venugopal Rao,S Sreesanth,0,1
