Inning,Over,Batting_Team,Player,Non_Striker,Baller,Runs,Extra
1,0.1,Delhi Daredevils,NV Ojha,DA Warner,AC Thomas,1,0
1,0.2,Delhi Daredevils,DA Warner,NV Ojha,AC Thomas,0,1
1,0.3,Delhi Daredevils,NV Ojha,DA Warner,AC Thomas,0,0
1,0.4,Delhi Daredevils,NV Ojha,DA Warner,AC Thomas,0,0
1,0.5,Delhi Daredevils,NV Ojha,DA Warner,AC Thomas,0,0
1,0.6,Delhi Daredevils,NV Ojha,DA Warner,AC Thomas,0,0
1,1.1,Delhi Daredevils,DA Warner,NV Ojha,JP Faulkner,0,1
1,1.2,Delhi Daredevils,NV Ojha,DA Warner,JP Faulkner,0,0
1,1.3,Delhi Daredevils,NV Ojha,DA Warner,JP Faulkner,0,0
1,1.4,Delhi Daredevils,NV Ojha,DA Warner,JP Faulkner,0,0
1,1.5,Delhi Daredevils,NV Ojha,DA Warner,JP Faulkner,0,0
1,1.6,Delhi Daredevils,NV Ojha,DA Warner,JP Faulkner,0,0
1,2.1,Delhi Daredevils,DA Warner,NV Ojha,AC Thomas,0,0
1,2.2,Delhi Daredevils,DA Warner,NV Ojha,AC Thomas,4,0
1,2.3,Delhi Daredevils,DA Warner,NV Ojha,AC Thomas,6,0
1,2.4,Delhi Daredevils,DA Warner,NV Ojha,AC Thomas,1,0
1,2.5,Delhi Daredevils,NV Ojha,DA Warner,AC Thomas,1,0
1,2.6,Delhi Daredevils,DA Warner,NV Ojha,AC Thomas,1,0
1,3.1,Delhi Daredevils,DA Warner,NV Ojha,JP Faulkner,6,0
1,3.2,Delhi Daredevils,DA Warner,NV Ojha,JP Faulkner,1,0
1,3.3,Delhi Daredevils,NV Ojha,DA Warner,JP Faulkner,1,0
1,3.4,Delhi Daredevils,DA Warner,NV Ojha,JP Faulkner,0,0
1,3.5,Delhi Daredevils,MS Wade,NV Ojha,JP Faulkner,0,0
1,3.6,Delhi Daredevils,MS Wade,NV Ojha,JP Faulkner,1,0
1,4.1,Delhi Daredevils,MS Wade,NV Ojha,AC Thomas,0,1
1,4.2,Delhi Daredevils,NV Ojha,MS Wade,AC Thomas,0,0
1,4.3,Delhi Daredevils,NV Ojha,MS Wade,AC Thomas,1,0
1,4.4,Delhi Daredevils,MS Wade,NV Ojha,AC Thomas,0,0
1,4.5,Delhi Daredevils,MS Wade,NV Ojha,AC Thomas,0,0
1,4.6,Delhi Daredevils,MS Wade,NV Ojha,AC Thomas,0,0
1,5.1,Delhi Daredevils,NV Ojha,MS Wade,SS Mundhe,0,0
1,5.2,Delhi Daredevils,NV Ojha,MS Wade,SS Mundhe,0,0
1,5.3,Delhi Daredevils,NV Ojha,MS Wade,SS Mundhe,0,1
1,5.4,Delhi Daredevils,NV Ojha,MS Wade,SS Mundhe,0,0
1,5.5,Delhi Daredevils,NV Ojha,MS Wade,SS Mundhe,4,0
1,5.6,Delhi Daredevils,NV Ojha,MS Wade,SS Mundhe,0,0
1,5.7,Delhi Daredevils,MS Wade,CA Ingram,SS Mundhe,1,0
1,6.1,Delhi Daredevils,MS Wade,CA Ingram,MR Marsh,1,0
1,6.2,Delhi Daredevils,CA Ingram,MS Wade,MR Marsh,1,0
1,6.3,Delhi Daredevils,MS Wade,CA Ingram,MR Marsh,1,0
1,6.4,Delhi Daredevils,CA Ingram,MS Wade,MR Marsh,1,0
1,6.5,Delhi Daredevils,MS Wade,CA Ingram,MR Marsh,0,0
1,6.6,Delhi Daredevils,MS Wade,CA Ingram,MR Marsh,1,0
1,7.1,Delhi Daredevils,MS Wade,CA Ingram,R Sharma,0,0
1,7.2,Delhi Daredevils,MS Wade,CA Ingram,R Sharma,0,0
1,7.3,Delhi Daredevils,MS Wade,CA Ingram,R Sharma,2,0
1,7.4,Delhi Daredevils,MS Wade,CA Ingram,R Sharma,1,0
1,7.5,Delhi Daredevils,CA Ingram,MS Wade,R Sharma,1,0
1,7.6,Delhi Daredevils,MS Wade,CA Ingram,R Sharma,0,0
1,8.1,Delhi Daredevils,CA Ingram,MS Wade,MR Marsh,1,0
1,8.2,Delhi Daredevils,MS Wade,CA Ingram,MR Marsh,0,0
1,8.3,Delhi Daredevils,MS Wade,CA Ingram,MR Marsh,2,0
1,8.4,Delhi Daredevils,MS Wade,CA Ingram,MR Marsh,1,0
1,8.5,Delhi Daredevils,CA Ingram,MS Wade,MR Marsh,1,0
1,8.6,Delhi Daredevils,MS Wade,CA Ingram,MR Marsh,0,0
1,9.1,Delhi Daredevils,CA Ingram,Y Venugopal Rao,Yuvraj Singh,0,0
1,9.2,Delhi Daredevils,CA Ingram,Y Venugopal Rao,Yuvraj Singh,2,0
1,9.3,Delhi Daredevils,CA Ingram,Y Venugopal Rao,Yuvraj Singh,0,0
1,9.4,Delhi Daredevils,CA Ingram,Y Venugopal Rao,Yuvraj Singh,0,1
1,9.5,Delhi Daredevils,CA Ingram,Y Venugopal Rao,Yuvraj Singh,4,0
1,9.6,Delhi Daredevils,CA Ingram,Y Venugopal Rao,Yuvraj Singh,1,0
1,9.7,Delhi Daredevils,Y Venugopal Rao,CA Ingram,Yuvraj Singh,0,0
1,10.1,Delhi Daredevils,CA Ingram,Y Venugopal Rao,MR Marsh,1,0
