Inning,Over,Batting_Team,Player,Non_Striker,Baller,Runs,Extra
1,0.1,Royal Challengers Bangalore,CH Gayle,SR Watson,Z Khan,1,0
1,0.2,Royal Challengers Bangalore,SR Watson,CH Gayle,Z Khan,4,0
1,0.3,Royal Challengers Bangalore,SR Watson,CH Gayle,Z Khan,0,0
1,0.4,Royal Challengers Bangalore,SR Watson,CH Gayle,Z Khan,4,0
1,0.5,Royal Challengers Bangalore,SR Watson,CH Gayle,Z Khan,0,0
1,0.6,Royal Challengers Bangalore,SR Watson,CH Gayle,Z Khan,1,0
1,1.1,Royal Challengers Bangalore,SR Watson,CH Gayle,CH Morris,4,0
1,1.2,Royal Challengers Bangalore,SR Watson,CH Gayle,CH Morris,0,0
1,1.3,Royal Challengers Bangalore,SR Watson,CH Gayle,CH Morris,0,1
1,1.4,Royal Challengers Bangalore,CH Gayle,SR Watson,CH Morris,4,0
1,1.5,Royal Challengers Bangalore,CH Gayle,SR Watson,CH Morris,0,0
1,1.6,Royal Challengers Bangalore,CH Gayle,SR Watson,CH Morris,0,0
1,2.1,Royal Challengers Bangalore,SR Watson,CH Gayle,PJ Cummins,0,0
1,2.2,Royal Challengers Bangalore,SR Watson,CH Gayle,PJ Cummins,1,0
1,2.3,Royal Challengers Bangalore,CH Gayle,SR Watson,PJ Cummins,0,0
1,2.4,Royal Challengers Bangalore,CH Gayle,SR Watson,PJ Cummins,0,1
1,2.5,Royal Challengers Bangalore,CH Gayle,SR Watson,PJ Cummins,1,0
1,2.6,Royal Challengers Bangalore,SR Watson,CH Gayle,PJ Cummins,0,0
1,2.7,Royal Challengers Bangalore,SR Watson,CH Gayle,PJ Cummins,4,0
1,3.1,Royal Challengers Bangalore,CH Gayle,SR Watson,CH Morris,0,0
1,3.2,Royal Challengers Bangalore,CH Gayle,SR Watson,CH Morris,0,0
1,3.3,Royal Challengers Bangalore,Mandeep Singh,SR Watson,CH Morris,0,0
1,3.4,Royal Challengers Bangalore,Mandeep Singh,SR Watson,CH Morris,0,0
1,3.5,Royal Challengers Bangalore,Mandeep Singh,SR Watson,CH Morris,0,0
1,3.6,Royal Challengers Bangalore,Mandeep Singh,SR Watson,CH Morris,4,0
1,4.1,Royal Challengers Bangalore,SR Watson,Mandeep Singh,S Nadeem,0,0
1,4.2,Royal Challengers Bangalore,SR Watson,Mandeep Singh,S Nadeem,0,0
1,4.3,Royal Challengers Bangalore,SR Watson,Mandeep Singh,S Nadeem,0,1
1,4.4,Royal Challengers Bangalore,SR Watson,Mandeep Singh,S Nadeem,0,0
1,4.5,Royal Challengers Bangalore,SR Watson,Mandeep Singh,S Nadeem,1,0
1,4.6,Royal Challengers Bangalore,Mandeep Singh,SR Watson,S Nadeem,0,0
1,4.7,Royal Challengers Bangalore,Mandeep Singh,SR Watson,S Nadeem,0,0
1,5.1,Royal Challengers Bangalore,SR Watson,Mandeep Singh,PJ Cummins,1,0
1,5.2,Royal Challengers Bangalore,Mandeep Singh,SR Watson,PJ Cummins,4,0
1,5.3,Royal Challengers Bangalore,Mandeep Singh,SR Watson,PJ Cummins,4,0
1,5.4,Royal Challengers Bangalore,Mandeep Singh,SR Watson,PJ Cummins,0,0
1,5.5,Royal Challengers Bangalore,Mandeep Singh,SR Watson,PJ Cummins,0,0
1,5.6,Royal Challengers Bangalore,KM Jadhav,SR Watson,PJ Cummins,0,0
1,6.1,Royal Challengers Bangalore,SR Watson,KM Jadhav,S Nadeem,1,0
1,6.2,Royal Challengers Bangalore,KM Jadhav,SR Watson,S Nadeem,1,0
1,6.3,Royal Challengers Bangalore,SR Watson,KM Jadhav,S Nadeem,0,0
1,6.4,Royal Challengers Bangalore,SR Watson,KM Jadhav,S Nadeem,0,0
1,6.5,Royal Challengers Bangalore,SR Watson,KM Jadhav,S Nadeem,1,0
1,6.6,Royal Challengers Bangalore,KM Jadhav,SR Watson,S Nadeem,1,0
1,7.1,Royal Challengers Bangalore,KM Jadhav,SR Watson,A Mishra,0,0
1,7.2,Royal Challengers Bangalore,KM Jadhav,SR Watson,A Mishra,1,0
1,7.3,Royal Challengers Bangalore,SR Watson,KM Jadhav,A Mishra,1,0
1,7.4,Royal Challengers Bangalore,KM Jadhav,SR Watson,A Mishra,6,0
