Inning,Over,Batting_Team,Player,Non_Striker,Baller,Runs,Extra
1,0.1,Chennai Super Kings,M Vijay,ML Hayden,RJ Harris,0,0
1,0.2,Chennai Super Kings,M Vijay,ML Hayden,RJ Harris,1,0
1,0.3,Chennai Super Kings,ML Hayden,M Vijay,RJ Harris,0,0
1,0.4,Chennai Super Kings,ML Hayden,M Vijay,RJ Harris,4,0
1,0.5,Chennai Super Kings,ML Hayden,M Vijay,RJ Harris,1,0
1,0.6,Chennai Super Kings,M Vijay,ML Hayden,RJ Harris,4,0
1,1.1,Chennai Super Kings,ML Hayden,M Vijay,RP Singh,0,0
1,1.2,Chennai Super Kings,ML Hayden,M Vijay,RP Singh,0,0
1,1.3,Chennai Super Kings,ML Hayden,M Vijay,RP Singh,0,1
1,1.4,Chennai Super Kings,ML Hayden,M Vijay,RP Singh,0,0
1,1.5,Chennai Super Kings,ML Hayden,M Vijay,RP Singh,0,0
1,1.6,Chennai Super Kings,ML Hayden,M Vijay,RP Singh,4,0
1,1.7,Chennai Super Kings,ML Hayden,M Vijay,RP Singh,0,0
1,2.1,Chennai Super Kings,M Vijay,ML Hayden,RJ Harris,4,0
1,2.2,Chennai Super Kings,M Vijay,ML Hayden,RJ Harris,0,0
1,2.3,Chennai Super Kings,M Vijay,ML Hayden,RJ Harris,0,0
1,2.4,Chennai Super Kings,M Vijay,ML Hayden,RJ Harris,1,0
1,2.5,Chennai Super Kings,ML Hayden,M Vijay,RJ Harris,1,0
1,2.6,Chennai Super Kings,M Vijay,ML Hayden,RJ Harris,0,0
1,3.1,Chennai Super Kings,ML Hayden,M Vijay,RP Singh,4,0
1,3.2,Chennai Super Kings,ML Hayden,M Vijay,RP Singh,6,0
1,3.3,Chennai Super Kings,ML Hayden,M Vijay,RP Singh,1,0
1,3.4,Chennai Super Kings,M Vijay,ML Hayden,RP Singh,0,0
1,3.5,Chennai Super Kings,M Vijay,ML Hayden,RP Singh,0,0
1,3.6,Chennai Super Kings,M Vijay,ML Hayden,RP Singh,2,0
1,4.1,Chennai Super Kings,ML Hayden,M Vijay,DR Smith,0,2
1,4.2,Chennai Super Kings,M Vijay,ML Hayden,DR Smith,1,0
1,4.3,Chennai Super Kings,ML Hayden,M Vijay,DR Smith,0,0
1,4.4,Chennai Super Kings,ML Hayden,M Vijay,DR Smith,6,0
1,4.5,Chennai Super Kings,ML Hayden,M Vijay,DR Smith,1,0
1,4.6,Chennai Super Kings,M Vijay,ML Hayden,DR Smith,0,0
1,4.7,Chennai Super Kings,M Vijay,ML Hayden,DR Smith,1,0
1,5.1,Chennai Super Kings,M Vijay,ML Hayden,RG Sharma,1,0
1,5.2,Chennai Super Kings,ML Hayden,M Vijay,RG Sharma,0,0
1,5.3,Chennai Super Kings,ML Hayden,M Vijay,RG Sharma,0,0
1,5.4,Chennai Super Kings,ML Hayden,M Vijay,RG Sharma,6,0
1,5.5,Chennai Super Kings,ML Hayden,M Vijay,RG Sharma,0,0
1,5.6,Chennai Super Kings,ML Hayden,M Vijay,RG Sharma,1,0
1,6.1,Chennai Super Kings,ML Hayden,M Vijay,Shoaib Ahmed,4,0
1,6.2,Chennai Super Kings,ML Hayden,M Vijay,Shoaib Ahmed,0,0
1,6.3,Chennai Super Kings,ML Hayden,M Vijay,Shoaib Ahmed,0,0
1,6.4,Chennai Super Kings,ML Hayden,M Vijay,Shoaib Ahmed,4,0
1,6.5,Chennai Super Kings,ML Hayden,M Vijay,Shoaib Ahmed,0,0
1,6.6,Chennai Super Kings,MS Dhoni,M Vijay,Shoaib Ahmed,0,0
1,7.1,Chennai Super Kings,M Vijay,MS Dhoni,PP Ojha,1,0
1,7.2,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,1,0
1,7.3,Chennai Super Kings,M Vijay,MS Dhoni,PP Ojha,0,4
1,7.4,Chennai Super Kings,M Vijay,MS Dhoni,PP Ojha,1,0
1,7.5,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,0,0
1,7.6,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,0,0
1,8.1,Chennai Super Kings,M Vijay,MS Dhoni,DR Smith,2,0
1,8.2,Chennai Super Kings,M Vijay,MS Dhoni,DR Smith,0,0
1,8.3,Chennai Super Kings,M Vijay,MS Dhoni,DR Smith,6,0
1,8.4,Chennai Super Kings,M Vijay,MS Dhoni,DR Smith,0,0
1,8.5,Chennai Super Kings,M Vijay,MS Dhoni,DR Smith,1,0
1,8.6,Chennai Super Kings,MS Dhoni,M Vijay,DR Smith,1,0
1,9.1,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,1,0
1,9.2,Chennai Super Kings,M Vijay,MS Dhoni,PP Ojha,1,0
1,9.3,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,2,0
1,9.4,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,0,0
1,9.5,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,1,0
1,9.6,Chennai Super Kings,M Vijay,MS Dhoni,PP Ojha,1,0
1,10.1,Chennai Super Kings,M Vijay,MS Dhoni,TL Suman,1,0
1,10.2,Chennai Super Kings,MS Dhoni,M Vijay,TL Suman,1,0
1,10.3,Chennai Super Kings,M Vijay,MS Dhoni,TL Suman,0,0
1,10.4,Chennai Super Kings,M Vijay,MS Dhoni,TL Suman,0,0
1,10.5,Chennai Super Kings,M Vijay,MS Dhoni,TL Suman,1,0
1,10.6,Chennai Super Kings,MS Dhoni,M Vijay,TL Suman,1,0
1,11.1,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,6,0
1,11.2,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,1,0
1,11.3,Chennai Super Kings,M Vijay,MS Dhoni,PP Ojha,0,0
1,11.4,Chennai Super Kings,M Vijay,MS Dhoni,PP Ojha,1,0
1,11.5,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,0,1
1,11.6,Chennai Super Kings,MS Dhoni,M Vijay,PP Ojha,1,0
1,11.7,Chennai Super Kings,M Vijay,MS Dhoni,PP Ojha,0,1
1,12.1,Chennai Super Kings,M Vijay,MS Dhoni,TL Suman,0,0
1,12.2,Chennai Super Kings,MS Dhoni,SK Raina,TL Suman,1,0
1,12.3,Chennai Super Kings,SK Raina,MS Dhoni,TL Suman,2,0
1,12.4,Chennai Super Kings,SK Raina,MS Dhoni,TL Suman,1,0
1,12.5,Chennai Super Kings,MS Dhoni,SK Raina,TL Suman,1,0
1,12.6,Chennai Super Kings,SK Raina,MS Dhoni,TL Suman,1,0
1,13.1,Chennai Super Kings,SK Raina,MS Dhoni,Shoaib Ahmed,1,0
1,13.2,Chennai Super Kings,MS Dhoni,SK Raina,Shoaib Ahmed,1,0
