Inning,Over,Batting_Team,Player,Non_Striker,Baller,Runs,Extra
1,0.1,Kolkata Knight Riders,RV Uthappa,G Gambhir,P Awana,0,0
1,0.2,Kolkata Knight Riders,RV Uthappa,G Gambhir,P Awana,1,0
1,0.3,Kolkata Knight Riders,G Gambhir,RV Uthappa,P Awana,1,0
1,0.4,Kolkata Knight Riders,RV Uthappa,G Gambhir,P Awana,0,0
1,0.5,Kolkata Knight Riders,RV Uthappa,G Gambhir,P Awana,0,0
1,0.6,Kolkata Knight Riders,RV Uthappa,G Gambhir,P Awana,0,0
1,1.1,Kolkata Knight Riders,G Gambhir,RV Uthappa,MG Johnson,0,0
1,1.2,Kolkata Knight Riders,G Gambhir,RV Uthappa,MG Johnson,0,0
1,1.3,Kolkata Knight Riders,MK Pandey,RV Uthappa,MG Johnson,1,0
1,1.4,Kolkata Knight Riders,RV Uthappa,MK Pandey,MG Johnson,1,0
1,1.5,Kolkata Knight Riders,MK Pandey,RV Uthappa,MG Johnson,1,0
1,1.6,Kolkata Knight Riders,RV Uthappa,MK Pandey,MG Johnson,0,0
1,2.1,Kolkata Knight Riders,MK Pandey,RV Uthappa,AR Patel,0,1
1,2.2,Kolkata Knight Riders,RV Uthappa,MK Pandey,AR Patel,1,0
1,2.3,Kolkata Knight Riders,MK Pandey,RV Uthappa,AR Patel,1,0
1,2.4,Kolkata Knight Riders,RV Uthappa,MK Pandey,AR Patel,1,0
1,2.5,Kolkata Knight Riders,MK Pandey,RV Uthappa,AR Patel,0,1
1,2.6,Kolkata Knight Riders,RV Uthappa,MK Pandey,AR Patel,4,0
1,3.1,Kolkata Knight Riders,MK Pandey,RV Uthappa,MG Johnson,4,0
1,3.2,Kolkata Knight Riders,MK Pandey,RV Uthappa,MG Johnson,0,1
1,3.3,Kolkata Knight Riders,MK Pandey,RV Uthappa,MG Johnson,1,0
1,3.4,Kolkata Knight Riders,RV Uthappa,MK Pandey,MG Johnson,6,0
1,3.5,Kolkata Knight Riders,RV Uthappa,MK Pandey,MG Johnson,4,0
1,3.6,Kolkata Knight Riders,RV Uthappa,MK Pandey,MG Johnson,1,0
1,3.7,Kolkata Knight Riders,MK Pandey,RV Uthappa,MG Johnson,0,0
1,4.1,Kolkata Knight Riders,RV Uthappa,MK Pandey,P Awana,0,0
1,4.2,Kolkata Knight Riders,RV Uthappa,MK Pandey,P Awana,4,0
1,4.3,Kolkata Knight Riders,RV Uthappa,MK Pandey,P Awana,1,0
1,4.4,Kolkata Knight Riders,MK Pandey,RV Uthappa,P Awana,1,0
1,4.5,Kolkata Knight Riders,RV Uthappa,MK Pandey,P Awana,4,0
1,4.6,Kolkata Knight Riders,RV Uthappa,MK Pandey,P Awana,1,0
1,5.1,Kolkata Knight Riders,RV Uthappa,MK Pandey,R Dhawan,6,0
1,5.2,Kolkata Knight Riders,RV Uthappa,MK Pandey,R Dhawan,1,0
1,5.3,Kolkata Knight Riders,MK Pandey,RV Uthappa,R Dhawan,0,0
1,5.4,Kolkata Knight Riders,MK Pandey,RV Uthappa,R Dhawan,4,0
1,5.5,Kolkata Knight Riders,MK Pandey,RV Uthappa,R Dhawan,1,0
1,5.6,Kolkata Knight Riders,RV Uthappa,MK Pandey,R Dhawan,1,0
1,6.1,Kolkata Knight Riders,RV Uthappa,MK Pandey,AR Patel,0,0
1,6.2,Kolkata Knight Riders,RV Uthappa,MK Pandey,AR Patel,1,0
1,6.3,Kolkata Knight Riders,MK Pandey,RV Uthappa,AR Patel,0,0
1,6.4,Kolkata Knight Riders,MK Pandey,RV Uthappa,AR Patel,1,0
1,6.5,Kolkata Knight Riders,RV Uthappa,MK Pandey,AR Patel,0,0
1,6.6,Kolkata Knight Riders,RV Uthappa,MK Pandey,AR Patel,1,0
1,7.1,Kolkata Knight Riders,RV Uthappa,MK Pandey,Karanveer Singh,1,0
1,7.2,Kolkata Knight Riders,MK Pandey,RV Uthappa,Karanveer Singh,1,0
1,7.3,Kolkata Knight Riders,RV Uthappa,MK Pandey,Karanveer Singh,1,0
1,7.4,Kolkata Knight Riders,MK Pandey,RV Uthappa,Karanveer Singh,4,0
1,7.5,Kolkata Knight Riders,MK Pandey,RV Uthappa,Karanveer Singh,1,0
1,7.6,Kolkata Knight Riders,RV Uthappa,MK Pandey,Karanveer Singh,1,0
1,8.1,Kolkata Knight Riders,RV Uthappa,MK Pandey,AR Patel,0,0
1,8.2,Kolkata Knight Riders,RV Uthappa,MK Pandey,AR Patel,0,0
1,8.3,Kolkata Knight Riders,MK Pandey,Shakib Al Hasan,AR Patel,0,0
1,8.4,Kolkata Knight Riders,MK Pandey,Shakib Al Hasan,AR Patel,0,0
1,8.5,Kolkata Knight Riders,MK Pandey,Shakib Al Hasan,AR Patel,0,0
1,8.6,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,AR Patel,0,0
1,9.1,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,Karanveer Singh,0,0
1,9.2,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,Karanveer Singh,1,0
1,9.3,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,Karanveer Singh,1,0
1,9.4,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,Karanveer Singh,1,0
1,9.5,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,Karanveer Singh,1,0
1,9.6,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,Karanveer Singh,0,1
1,9.7,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,Karanveer Singh,1,0
1,10.1,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,MG Johnson,0,1
1,10.2,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,MG Johnson,0,0
1,10.3,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,MG Johnson,2,0
1,10.4,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,MG Johnson,1,0
1,10.5,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,MG Johnson,0,0
1,10.6,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,MG Johnson,4,0
1,10.7,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,MG Johnson,0,0
1,11.1,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,R Dhawan,1,0
1,11.2,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,R Dhawan,1,0
1,11.3,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,R Dhawan,1,0
1,11.4,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,R Dhawan,4,0
1,11.5,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,R Dhawan,0,0
1,11.6,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,R Dhawan,2,0
1,12.1,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,P Awana,0,0
1,12.2,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,P Awana,4,0
1,12.3,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,P Awana,1,0
1,12.4,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,P Awana,0,0
1,12.5,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,P Awana,0,1
1,12.6,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,P Awana,0,0
1,13.1,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,R Dhawan,0,0
1,13.2,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,R Dhawan,0,0
1,13.3,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,R Dhawan,6,0
1,13.4,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,R Dhawan,1,0
1,13.5,Kolkata Knight Riders,Shakib Al Hasan,YK Pathan,R Dhawan,1,0
1,13.6,Kolkata Knight Riders,YK Pathan,Shakib Al Hasan,R Dhawan,0,0
