Inning,Over,Batting_Team,Player,Non_Striker,Baller,Runs,Extra
1,0.1,Chennai Super Kings,MEK Hussey,M Vijay,B Lee,0,0
1,0.2,Chennai Super Kings,MEK Hussey,M Vijay,B Lee,0,0
1,0.3,Chennai Super Kings,MEK Hussey,M Vijay,B Lee,0,0
1,0.4,Chennai Super Kings,MEK Hussey,M Vijay,B Lee,1,0
1,0.5,Chennai Super Kings,M Vijay,MEK Hussey,B Lee,0,0
1,0.6,Chennai Super Kings,M Vijay,MEK Hussey,B Lee,0,0
1,1.1,Chennai Super Kings,MEK Hussey,M Vijay,Iqbal Abdulla,1,0
1,1.2,Chennai Super Kings,M Vijay,MEK Hussey,Iqbal Abdulla,2,0
1,1.3,Chennai Super Kings,M Vijay,MEK Hussey,Iqbal Abdulla,0,0
1,1.4,Chennai Super Kings,M Vijay,MEK Hussey,Iqbal Abdulla,1,0
1,1.5,Chennai Super Kings,MEK Hussey,M Vijay,Iqbal Abdulla,0,0
1,1.6,Chennai Super Kings,MEK Hussey,M Vijay,Iqbal Abdulla,0,0
1,2.1,Chennai Super Kings,M Vijay,MEK Hussey,B Lee,0,0
1,2.2,Chennai Super Kings,M Vijay,MEK Hussey,B Lee,0,0
1,2.3,Chennai Super Kings,M Vijay,MEK Hussey,B Lee,2,0
1,2.4,Chennai Super Kings,M Vijay,MEK Hussey,B Lee,0,0
1,2.5,Chennai Super Kings,M Vijay,MEK Hussey,B Lee,0,0
1,2.6,Chennai Super Kings,M Vijay,MEK Hussey,B Lee,0,0
1,3.1,Chennai Super Kings,MEK Hussey,M Vijay,Iqbal Abdulla,0,0
1,3.2,Chennai Super Kings,MEK Hussey,M Vijay,Iqbal Abdulla,0,1
1,3.3,Chennai Super Kings,M Vijay,MEK Hussey,Iqbal Abdulla,0,0
1,3.4,Chennai Super Kings,M Vijay,MEK Hussey,Iqbal Abdulla,0,0
1,3.5,Chennai Super Kings,M Vijay,MEK Hussey,Iqbal Abdulla,0,0
1,3.6,Chennai Super Kings,SK Raina,MEK Hussey,Iqbal Abdulla,1,0
1,4.1,Chennai Super Kings,SK Raina,MEK Hussey,B Lee,0,0
1,4.2,Chennai Super Kings,SK Raina,MEK Hussey,B Lee,0,0
1,4.3,Chennai Super Kings,SK Raina,MEK Hussey,B Lee,1,0
1,4.4,Chennai Super Kings,MEK Hussey,SK Raina,B Lee,0,1
1,4.5,Chennai Super Kings,SK Raina,MEK Hussey,B Lee,0,0
1,4.6,Chennai Super Kings,SK Raina,MEK Hussey,B Lee,1,0
1,5.1,Chennai Super Kings,SK Raina,MEK Hussey,YK Pathan,0,1
1,5.2,Chennai Super Kings,SK Raina,MEK Hussey,YK Pathan,0,0
1,5.3,Chennai Super Kings,SK Raina,MEK Hussey,YK Pathan,1,0
1,5.4,Chennai Super Kings,MEK Hussey,SK Raina,YK Pathan,1,0
1,5.5,Chennai Super Kings,SK Raina,MEK Hussey,YK Pathan,0,0
1,5.6,Chennai Super Kings,S Badrinath,MEK Hussey,YK Pathan,0,0
1,5.7,Chennai Super Kings,S Badrinath,MEK Hussey,YK Pathan,0,0
1,6.1,Chennai Super Kings,MEK Hussey,S Badrinath,R Bhatia,0,0
1,6.2,Chennai Super Kings,MEK Hussey,S Badrinath,R Bhatia,1,0
1,6.3,Chennai Super Kings,S Badrinath,MEK Hussey,R Bhatia,1,0
1,6.4,Chennai Super Kings,MEK Hussey,S Badrinath,R Bhatia,1,0
1,6.5,Chennai Super Kings,S Badrinath,MEK Hussey,R Bhatia,0,0
1,6.6,Chennai Super Kings,S Badrinath,MEK Hussey,R Bhatia,2,0
1,7.1,Chennai Super Kings,MEK Hussey,S Badrinath,YK Pathan,0,0
1,7.2,Chennai Super Kings,MEK Hussey,S Badrinath,YK Pathan,1,0
1,7.3,Chennai Super Kings,S Badrinath,MEK Hussey,YK Pathan,2,0
1,7.4,Chennai Super Kings,S Badrinath,MEK Hussey,YK Pathan,0,0
1,7.5,Chennai Super Kings,S Badrinath,MEK Hussey,YK Pathan,1,0
1,7.6,Chennai Super Kings,MEK Hussey,S Badrinath,YK Pathan,1,0
1,8.1,Chennai Super Kings,MEK Hussey,S Badrinath,R Bhatia,1,0
1,8.2,Chennai Super Kings,S Badrinath,MEK Hussey,R Bhatia,1,0
1,8.3,Chennai Super Kings,MEK Hussey,S Badrinath,R Bhatia,1,0
